budget,genre,gross,name,rating,released,runtime,votes,winner
8000000,Adventure,52287414,Stand by Me,R,8/22/86,89,299174,1
6000000,Comedy,70136369,Ferris Bueller's Day Off,PG-13,6/11/86,103,264740,0
15000000,Action,179800601,Top Gun,PG,5/16/86,110,236909,2
18500000,Action,85160248,Aliens,R,7/18/86,137,540152,2
9000000,Adventure,18564613,Flight of the Navigator,PG,8/1/86,90,36636,0
6000000,Drama,138530565,Platoon,R,2/6/87,120,317585,2
25000000,Adventure,12729917,Labyrinth,PG,6/27/86,101,102879,0
6000000,Drama,8551228,Blue Velvet,R,10/23/86,120,146768,1
9000000,Comedy,40471663,Pretty in Pink,PG-13,2/28/86,96,60565,0
15000000,Drama,40456565,The Fly,R,8/15/86,96,129698,2
8800000,Adventure,174635000,Crocodile Dundee,PG-13,9/26/86,97,79465,0
16000000,Action,5900000,Highlander,R,3/7/86,116,104860,0
6000000,Comedy,8200000,Lucas,PG-13,3/28/86,100,12228,0
25000000,Action,11100000,Big Trouble in Little China,PG-13,7/2/86,99,101678,0
15000000,Crime,8620929,Manhunter,R,8/15/86,120,54000,0
17000000,Drama,6734844,9Ω Weeks,R,2/21/86,117,31798,0
10000000,Action,7433663,Maximum Overdrive,R,7/25/86,98,24881,0
25000000,Comedy,38747385,Little Shop of Horrors,PG-13,12/19/86,94,53327,1
2700000,Action,3500000,The Wraith,PG-13,11/21/86,93,11635,0
35000000,Action,16295774,Howard the Duck,PG,8/1/86,110,36020,0
2000000,Action,13167232,Critters,PG-13,4/11/86,82,25517,0
11000000,Comedy,91258000,Back to School,PG-13,6/13/86,96,23120,0
4700000,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,8/22/86,89,21253,0
15000000,Action,42724017,Heartbreak Ridge,R,12/5/86,130,32954,1
25000000,Adventure,109713132,Star Trek IV: The Voyage Home,PG,11/26/86,119,66366,1
0,Comedy,40697761,Short Circuit,PG,5/9/86,98,47068,0
0,Crime,7153487,The Name of the Rose,R,9/24/86,130,86991,0
0,Action,24159872,Iron Eagle,PG-13,1/17/86,117,11304,0
25000000,Action,79817937,The Golden Child,PG-13,12/12/86,94,42997,0
1900000,Crime,4600000,River's Edge,R,5/8/87,99,12862,0
25000000,Comedy,39246734,°Three Amigos!,PG,12/12/86,104,57406,0
25000000,Action,49042224,Cobra,R,5/23/86,87,54851,0
0,Drama,2003822,Betty Blue,Not specified,11/7/86,120,14562,1
24500000,Adventure,17218023,The Mission,PG,10/31/86,125,47497,2
13800000,Drama,52293982,The Color of Money,R,10/17/86,119,62495,2
0,Action,115103979,The Karate Kid Part II,PG,6/20/86,113,58370,1
0,Drama,7177431,The Boy Who Could Fly,PG,9/26/86,114,4623,0
6000000,Thriller,5844868,The Hitcher,R,2/21/86,97,36191,0
10000000,Comedy,37499651,The Money Pit,PG,3/26/86,91,41278,0
3000000,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,8/1/86,86,28310,0
25000000,Adventure,14302779,The Mosquito Coast,PG,11/26/86,117,23076,0
0,Animation,47483002,An American Tail,G,11/21/86,80,41004,1
4000000,Biography,2826523,Sid and Nancy,R,11/7/86,112,25032,0
10000000,Action,4711220,King Kong Lives,PG-13,12/19/86,105,4401,0
4500000,Horror,1261000,From Beyond,R,10/24/86,86,16636,0
18000000,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/86,103,28529,1
19000000,Horror,40996665,Poltergeist II: The Other Side,PG-13,5/23/86,91,20669,1
1100000,Comedy,5450815,Troll,PG-13,1/17/86,82,7569,0
0,Action,38500726,Running Scared,R,6/27/86,107,9344,0
0,Comedy,26285544,Wildcats,R,2/14/86,106,10239,0
111000,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,9/7/90,83,25367,0
18000000,Adventure,9697739,SpaceCamp,PG,6/6/86,107,11484,0
6400000,Comedy,40084041,Hannah and Her Sisters,PG-13,3/14/86,107,56988,2
14000000,Animation,38600000,The Great Mouse Detective,G,7/2/86,74,36539,0
8500000,Action,16209459,Raw Deal,R,6/6/86,106,24851,0
6000000,Animation,5849647,The Transformers: The Movie,PG,8/8/86,84,33609,0
0,Drama,2015882,Rad,PG,3/28/86,91,4039,0
5000000,Comedy,591366,Night of the Creeps,R,8/22/86,88,16077,0
12000000,Horror,4884663,Invaders from Mars,PG,6/6/86,100,5878,0
0,Drama,5839031,Crossroads,R,3/14/86,99,11415,0
